ID,Year,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,magnitude,damages,death,missing,injuries
1963,1965,1,24,0,11,12.1,-2.4,126.1,0,0,71,0,0
1964,1965,2,4,5,1,21.6, ALEUTIAN ISLANDS, AK,178.55,0,2.5,0,0
5470,1965,2,19,0,0,0,-41.755,-72.396,60,0,27,0,0
1965,1965,2,23,22,11,46,-25.67,-70.63,0,0,0,0,0
3042,1965,3,9,17,57,53.7,39.4,24,0,0,0,0,0
1966,1965,3,22,22,56,28,-31.81,-71.26,0,0,0,0,0
1967,1965,3,30,2,27,3.4, ALEUTIAN ISLANDS, AK,177.93,0,-1,0,0
5505,1965,4,19,23,42,0,34.9,139,0.1,0,0,0,0
1970,1965,6,11,3,34,2,44.7,148.7,0.1,0,0,0,0
1971,1965,7,2,20,58,38.1, ALEUTIAN ISLANDS, AK,-167.55,0,-2,0,0
1972,1965,7,6,3,18,42.7,38.267,22.3,0,0,1,0,0
1973,1965,8,11,22,31,45.9,-15.8,167.2,7,0,0,0,0
1974,1965,8,13,12,40,32,-15.9,166.8,2,0,0,0,0
1975,1965,8,23,19,46,2.9,16.3,-95.8,0.4,0,0,0,0
1977,1965,9,28,0,0,0, LUZON ISLAND,14.002,84,0,0,3,0
1979,1965,10,3,16,14,56,-42.9,-75.13,0,0,0,0,0
1980,1966,3,12,16,31,21.8,24.1,122.6,0.1,0,0,0,0
4242,1966,5,8,0,0,0,59.6,10.633,0,0,0,0,0
1981,1966,6,15,0,59,42.7,-10.343,160.883,0.2,0,0,0,0
2302,1966,7,12,18,53,0,44.75,37,0.2,0,0,0,0
1982,1966,10,17,21,41,56,-10.748,-78.638,3,2,0,0,0
1983,1966,11,28,0,0,0, SANTA CRUZ ISLANDS,-10.28,82,0,0,0,0
1984,1966,12,28,8,18,7.4,-25.5,-70.7,0.42,0,0,0,0
2425,1966,12,31,18,23,11.1,-11.893,166.445,2,0,0,0,0
3033,1966,12,31,22,15,16.6,-12.334,166.684,0.8,0,0,0,0
5478,1966,0,0,0,0,0, SANTA CRUZ ISLANDS,-10.38,82,0,0,0,0
1986,1967,3,19,4,1,38.5,45.53,151.11,0,0,0,0,0
1987,1967,4,11,5,9,12.1,-3.7,119.3,0,0,13,0,0
1988,1967,4,12,4,51,50.2,5.5,97.3,0,0,0,0,0
3349,1967,7,29,23,59,58.7,10.6,-67.3,0.08,0,0,0,0
1989,1967,8,13,22,15,10,-4.4,152.5,0.1,0,0,0,0
1990,1967,9,3,0,0,0,-10.6,-79.8,2,0,0,0,0
1991,1967,11,15,21,31,54,-28.78,-71.19,0,0,0,0,0
1992,1967,12,4,0,0,0, DECEPCION ISLAND,-63,89,0,0,0,0
5492,1967,12,4,0,0,0,0,0,0,0,0,0,0
1994,1967,12,21,2,25,23,-21.7,-69.5,0,0,0,0,0
1996,1968,1,29,10,19,7.2,43.586,146.701,0.18,0,0,0,0
1997,1968,2,19,22,45,45.7, NORTH AEGEAN SEA,39.368,50,0,0,0,0
1998,1968,4,1,0,42,4.2,32.3,132.5,3.07,0,0,0,0
3798,1968,4,18,19,38,15,44.08,8,3,0,0,0,0
2878,1968,5,4,0,0,0,-27.15,-109.45,0,0,0,0,0
2000,1968,5,16,0,48,55.4,40.8,143.2,6,0,52,0,0
2438,1968,5,16,10,39,1.6,41.5,142.7,0.58,0,0,0,0
2001,1968,6,12,13,41,50.7,39.4,143.1,0.95,0,0,0,0
2002,1968,7,25,7,23,7.8,-30.8,-178.4,0.05,0,0,0,0
2003,1968,8,1,20,19,21.9,16.5,122.2,0.16,0,1,0,0
2004,1968,8,5,7,17,0,33.3,132.2,0.03,0,0,0,0
2006,1968,8,10,2,7,4.3,1.4,126.2,0.4,0,0,0,0
2007,1968,8,14,22,14,19.4,0.2,119.8,10,0,200,58,0
3297,1968,9,3,8,19,52.2,41.8,32.3,3,0,0,0,0
2009,1968,9,20,6,9,0,10.5,-62.6,0,0,0,0,0
2010,1968,9,25,0,0,0,15.6,-92.6,2,0,0,0,0
2011,1969,2,23,0,36,56.6,-3.1,118.9,4,0,600,0,0
2012,1969,2,28,2,40,32.5,36.017,-10.95,0.9,0,0,0,0
2872,1969,3,21,0,0,0,19.077,122.202,0,0,3,0,0
3646,1969,3,31,0,0,0,27.7,34,0,0,0,0,0
3350,1969,4,12,5,44,0,59.4,13.5,5,0,0,0,0
2013,1969,4,21,7,19,0,32.2,132.1,0.1,0,0,0,0
2014,1969,8,2,4,30,29,-6.6,146.9,0,0,0,0,0
2015,1969,8,11,21,26,36,43.6,147.9,5,0,0,0,0
2016,1969,11,22,23,9,37,57.7,163.6,15,0,0,0,0
2018,1969,12,25,21,32,27.3,15.8,-59.7,0.46,0,0,0,0
2019,1970,1,10,12,7,8.6,6.8,126.7,0.06,0,0,0,0
3309,1970,3,11,22,38,34.6, AK,57.5,87,0,0,0,0
2020,1970,4,7,5,34,5.6,15.78,121.71,0,0,0,0,0
3073,1970,5,14,18,12,0,43,47.1,0,0,0,0,0
2021,1970,5,31,20,23,27.3,-9.2,-78.8,0.38,0,0,0,0
2022,1970,6,14,0,0,0,-52,-73.8,0,0,0,0,0
2023,1970,6,19,10,56,13.5,-22.28,-70.55,0,0,0,0,0
2025,1970,7,25,22,41,10.7,32.2,131.7,0.32,0,0,0,0
2026,1970,9,28,19,1,0,-44.64,173.62,1,0,0,0,0
2027,1970,9,30,9,52,22.7,20.6,122,0,0,0,0,0
2028,1970,10,31,17,53,9.3,-4.907,145.471,3,0,3,0,0
2030,1970,11,28,11,8,40,-20.94,-69.81,0,0,0,0,0
2303,1970,12,4,1,59,25,43.84,39.34,0.8,0,0,0,0
5535,1971,3,19,0,0,0,-11.116,-76.5,30,0,600,0,0
2031,1971,5,2,6,8,27.8, AK,51.228,87,0,0,0,0
2033,1971,7,9,3,3,18.7,-32.5,-71.2,1.2,0,0,0,0
2034,1971,7,14,6,11,29.1,-5.5,153.9,6,0,1,0,0
2035,1971,7,26,1,23,21.3,-4.9,153.2,10,0,0,0,0
2036,1971,8,2,7,24,56.8,41.4,143.5,0.51,0,0,0,0
2431,1971,9,5,18,35,25,46.5,141.2,2,0,0,0,0
2430,1971,9,6,13,37,10.8,46.7,141.4,0.32,0,0,0,0
2043,1971,9,6,20,0,0, SANTA CRUZ ISLANDS,-10.38,82,0,0,0,0
2038,1971,9,8,11,48,23.4,46.4,141.1,0.09,0,0,0,0
2039,1971,9,8,16,59,52.6,46.3,140.9,0.07,0,0,0,0
2040,1971,9,25,4,36,14,-6.5,146.6,1.8,0,0,0,0
2041,1971,9,27,19,1,45.3,46.4,141.1,0.03,0,0,0,0
2042,1971,11,6,22,0,0.1, ALEUTIAN ISLANDS, AK,179.1,0,0,0,0
2044,1971,12,15,8,29,55.3,56,163.3,0.47,0,0,0,0
2045,1972,1,25,2,6,23.3,22.5,122.3,0.05,0,0,0,0
2046,1972,2,29,9,22,59.8,33.3,140.8,0.42,0,0,0,0
2048,1972,6,8,18,53,41.7,-30.5,-71.8,0,0,0,0,0
2049,1972,7,30,21,45,14.1, AK,56.82,87,0,0,0,0
2051,1972,8,17,23,44,5.9,-6,152.9,0.6,0,0,0,0
2052,1972,8,26,8,15,0,-6.7,147,1.5,0,0,0,0
2053,1972,9,6,11,42,23.9,32.9,130.3,0,0,0,0,0
2054,1972,10,9,0,0,0, PAPUA NEW GUINEA,-5.52,82,0,0,0,0
2055,1972,12,2,0,19,47.2, PHILIPPINES,6.5,84,0,0,0,0
2056,1972,12,4,10,16,12,33.3,140.7,0.5,0,0,0,0
2057,1972,12,29,4,51,1.6,-30.6,-71,0,0,0,0,0
2058,1973,1,30,21,1,12.5,18.48,-103,1.13,0,0,0,0
2059,1973,2,28,6,37,49.5,50.5,156.6,1.5,0,0,0,0
3226,1973,3,17,8,30,51.8,13.4,122.8,1.3,0,0,0,0
2060,1973,6,17,3,55,2.9,43.2,145.8,5.96,5,0,0,0
2061,1973,6,24,2,43,25.5,43.3,146.4,0.64,0,0,0,0
3506,1973,6,26,22,32,0.2,43.2,146.6,0.21,0,0,0,0
2062,1973,10,5,5,47,51.1,-32.5,-71.5,0.4,0,0,0,0
2063,1974,1,31,23,30,5.3,-7.5,155.9,1.5,0,0,0,0
2064,1974,2,1,3,12,33.1,-7.4,155.6,4.5,0,0,0,0
2065,1974,5,8,23,33,25.2,34.6,138.7,0.2,0,0,0,0
2066,1974,8,18,10,44,12.8,-38.5,-73.4,0,0,0,0,0
2067,1974,9,27,5,47,29.4,43.2,146.7,0.37,0,0,0,0
2068,1974,10,3,14,21,29.1,-12.27,-77.79,0.92,0,0,0,0
5568,1974,10,17,19,5,0, BRITISH COLOMBIA,54,88,0,0,0,0
2069,1974,10,17,0,0,0, PAPUA NEW GUINEA,-5.52,82,0,0,0,0
2071,1974,12,28,12,11,43.7,35.1,72.9,0,0,0,0,0
2072,1975,1,15,9,42,24,-5,130,0,0,0,0,0
2074,1975,3,13,15,26,42.5,-29.9,-71.3,0,0,0,0,0
2879,1975,4,27,18,5,0, BRITISH COLUMBIA,53.98,88,0,0,0,0
2567,1975,5,26,9,11,51.5,35.997,-17.649,0.76,0,0,0,0
2075,1975,6,10,13,47,14.5,43.024,147.734,5.5,0,0,0,0
2076,1975,7,20,14,37,39.9,-6.59,155.054,2,0,0,0,0
2079,1975,10,31,8,28,2.6,12.54,125.993,3,0,1,0,0
2080,1975,11,29,14,47,40.9,19.451,-155.033,14.3,1.5,2,19,0
2081,1975,12,26,15,56,38.7,-16.265,-172.467,0.38,0,0,0,0
2083,1976,1,14,16,47,33.5,-28.427,-177.657,0.9,0,0,0,0
