name,country,lat,lon,elevation
1965,1,-2.4,126.1,0
1965,2, ALEUTIAN ISLANDS, AK,178.55
1965,2,-41.755,-72.396,60
1965,2,-25.67,-70.63,0
1965,3,39.4,24,0
1965,3,-31.81,-71.26,0
1965,3, ALEUTIAN ISLANDS, AK,177.93
1965,4,34.9,139,0.1
1965,6,44.7,148.7,0.1
1965,7, ALEUTIAN ISLANDS, AK,-167.55
1965,7,38.267,22.3,0
1965,8,-15.8,167.2,7
1965,8,-15.9,166.8,2
1965,8,16.3,-95.8,0.4
1965,9, LUZON ISLAND,14.002,84
1965,10,-42.9,-75.13,0
1966,3,24.1,122.6,0.1
1966,5,59.6,10.633,0
1966,6,-10.343,160.883,0.2
1966,7,44.75,37,0.2
1966,10,-10.748,-78.638,3
1966,11, SANTA CRUZ ISLANDS,-10.28,82
1966,12,-25.5,-70.7,0.42
1966,12,-11.893,166.445,2
1966,12,-12.334,166.684,0.8
1966,0, SANTA CRUZ ISLANDS,-10.38,82
1967,3,45.53,151.11,0
1967,4,-3.7,119.3,0
1967,4,5.5,97.3,0
1967,7,10.6,-67.3,0.08
1967,8,-4.4,152.5,0.1
1967,9,-10.6,-79.8,2
1967,11,-28.78,-71.19,0
1967,12, DECEPCION ISLAND,-63,89
1967,12,0,0,0
1967,12,-21.7,-69.5,0
1968,1,43.586,146.701,0.18
1968,2, NORTH AEGEAN SEA,39.368,50
1968,4,32.3,132.5,3.07
1968,4,44.08,8,3
1968,5,-27.15,-109.45,0
1968,5,40.8,143.2,6
1968,5,41.5,142.7,0.58
1968,6,39.4,143.1,0.95
1968,7,-30.8,-178.4,0.05
1968,8,16.5,122.2,0.16
1968,8,33.3,132.2,0.03
1968,8,1.4,126.2,0.4
1968,8,0.2,119.8,10
1968,9,41.8,32.3,3
1968,9,10.5,-62.6,0
1968,9,15.6,-92.6,2
1969,2,-3.1,118.9,4
1969,2,36.017,-10.95,0.9
1969,3,19.077,122.202,0
1969,3,27.7,34,0
1969,4,59.4,13.5,5
1969,4,32.2,132.1,0.1
1969,8,-6.6,146.9,0
1969,8,43.6,147.9,5
1969,11,57.7,163.6,15
1969,12,15.8,-59.7,0.46
1970,1,6.8,126.7,0.06
1970,3, AK,57.5,87
1970,4,15.78,121.71,0
1970,5,43,47.1,0
1970,5,-9.2,-78.8,0.38
1970,6,-52,-73.8,0
1970,6,-22.28,-70.55,0
1970,7,32.2,131.7,0.32
1970,9,-44.64,173.62,1
1970,9,20.6,122,0
1970,10,-4.907,145.471,3
1970,11,-20.94,-69.81,0
1970,12,43.84,39.34,0.8
1971,3,-11.116,-76.5,30
1971,5, AK,51.228,87
1971,7,-32.5,-71.2,1.2
1971,7,-5.5,153.9,6
1971,7,-4.9,153.2,10
1971,8,41.4,143.5,0.51
1971,9,46.5,141.2,2
1971,9,46.7,141.4,0.32
1971,9, SANTA CRUZ ISLANDS,-10.38,82
1971,9,46.4,141.1,0.09
1971,9,46.3,140.9,0.07
1971,9,-6.5,146.6,1.8
1971,9,46.4,141.1,0.03
1971,11, ALEUTIAN ISLANDS, AK,179.1
1971,12,56,163.3,0.47
1972,1,22.5,122.3,0.05
1972,2,33.3,140.8,0.42
1972,6,-30.5,-71.8,0
1972,7, AK,56.82,87
1972,8,-6,152.9,0.6
1972,8,-6.7,147,1.5
1972,9,32.9,130.3,0
1972,10, PAPUA NEW GUINEA,-5.52,82
1972,12, PHILIPPINES,6.5,84
1972,12,33.3,140.7,0.5
1972,12,-30.6,-71,0
1973,1,18.48,-103,1.13
1973,2,50.5,156.6,1.5
1973,3,13.4,122.8,1.3
1973,6,43.2,145.8,5.96
1973,6,43.3,146.4,0.64
1973,6,43.2,146.6,0.21
1973,10,-32.5,-71.5,0.4
1974,1,-7.5,155.9,1.5
1974,2,-7.4,155.6,4.5
1974,5,34.6,138.7,0.2
1974,8,-38.5,-73.4,0
1974,9,43.2,146.7,0.37
1974,10,-12.27,-77.79,0.92
1974,10, BRITISH COLOMBIA,54,88
1974,10, PAPUA NEW GUINEA,-5.52,82
1974,12,35.1,72.9,0
1975,1,-5,130,0
1975,3,-29.9,-71.3,0
1975,4, BRITISH COLUMBIA,53.98,88
1975,5,35.997,-17.649,0.76
1975,6,43.024,147.734,5.5
1975,7,-6.59,155.054,2
1975,10,12.54,125.993,3
1975,11,19.451,-155.033,14.3
1975,12,-16.265,-172.467,0.38
1976,1,-28.427,-177.657,0.9
1976,1,44.915,149.123,0.38
1976,2,15.324,-89.101,0.12
1976,8,6.292,124.09,9
1977,4,-16.696,-172.095,0.08
1977,4,-9.828,163.323,0.15
1977,4,-9.89,160.348,0
1977,4,-9.965,160.731,0.04
1977,6,-22.878,-175.9,0.4
1977,8,-11.085,118.464,15
1977,8,-1.1,146.2,0.5
1977,8,-1.081,146.23,0.6
1977,10,-25.856,-175.406,0.03
1978,1,34.809,139.259,0.35
1978,3,44.026,149.002,0.07
1978,3,44.14,149.029,0.05
1978,3,44.209,148.971,0.17
1978,3,44.932,148.439,0.3
1978,3,44.244,148.862,0.65
1978,6,38.19,142.03,0.6
1978,6,0,0,0
1978,6, PHILIPPINES,8.249,84
1978,6, GREECE,40.739,50
1978,6, ADRIATIC SEA,42,50
1978,7,22.282,121.512,0.05
1978,8,36.37,-6.98,0.12
1978,10,-43.08,172.97,0
1978,11,16.01,-96.591,1.5
1979,2, JAPAN,40.232,85
1979,2, AK,60.691,87
1979,3,17.813,-101.276,1.3
1979,4,41.956,19.023,0
1979,4,42.096,19.209,0.6
1979,5,34.53,24.437,0
1979,7,-8.6,123.5,9
1979,8,-8.5,123.5,0
