Year,Month,Day,Name,Location,Country,Latitude,Longitude,Elevation,Type,magnitude,death,missing,injuries,damages
1965,9,28,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,4,355,,,
1965,10,24,Kick-'em-Jenny,W Indies,Netherlands,12.3,-61.63,-177,Submarine volcano,0,,,,
1966,1,13,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,851,Stratovolcano,3,,,,
1966,4,26,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,4,215,78,86,
1966,8,12,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.5,1320,Stratovolcano,4,39,,1000,
1966,8,14,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.751,35.902,2890,Stratovolcano,4,,,,
1967,7,8,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.751,35.902,2890,Stratovolcano,3,,,,
1967,8,31,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,3,,,
1967,12,4,Deception Island,Antarctica,Antarctica,-62.97,-60.65,576,Caldera,3,,,,
1968,4,21,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,6,,,
1968,7,29,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1657,Stratovolcano,3,80,,,
1969,1,7,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,3,,,
1969,1,28,Iya,Lesser Sunda Is,Indonesia,-8.88,121.63,637,Stratovolcano,3,2,,10,
1969,3,21,Didicas,Luzon-N of,Philippines,19.077,122.202,244,Compound volcano,2,3,,,
1969,8,26,Narugo,Honshu-Japan,Japan,38.73,140.73,462,Caldera,,1,,,
1970,3,2,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,,3,,,
1970,5,5,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,3,,,,
1971,8,12,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,3,3,,,
1971,9,6,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,851,Stratovolcano,2,,,,
1971,9,14,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,10,,,
